Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x83f2fba0 System                    4      0     86      527 ------      0 2017-08-07 20:12:33 UTC+0000                                 
0x84e44d28 smss.exe                268      4      2       29 ------      0 2017-08-07 20:12:33 UTC+0000                                 
0x8408f030 msiexec.exe             588   1688      0 --------      1      0 2017-08-07 20:16:34 UTC+0000   2017-08-07 20:16:43 UTC+0000  
0x857387f0 WmiPrvSE.exe           2988    596      6      109      0      0 2017-08-07 20:16:44 UTC+0000                                 
0x859005f0 msiexec.exe            1512   1368      4      148      1      0 2017-08-07 20:18:38 UTC+0000                                 
0x83fca320 calc.exe                352   1368      3       75      1      0 2017-08-07 20:19:30 UTC+0000                                 
0x841bd030 cmd.exe                2232   1368      1       22      1      0 2017-08-07 20:21:34 UTC+0000                                 
0x8407ad28 conhost.exe            3920    388      2       55      1      0 2017-08-07 20:21:34 UTC+0000                                 
0x841b41f0 rundll32.exe            300    480      1       51      0      0 2017-08-07 20:22:46 UTC+0000                                 
0x841af1f0 svchost.exe            3748    472      6       76      0      0 2017-08-07 20:22:46 UTC+0000                                 
0x841a7030 wlrmdr.exe             3008    428      0 --------      1      0 2017-08-07 20:22:47 UTC+0000   2017-08-07 20:22:53 UTC+0000  
0x859d3180 Memoryze.exe           3588   3528      2       96      1      0 2017-08-07 20:22:59 UTC+0000                                 
0x858b7840 conhost.exe             336    388      2       54      1      0 2017-08-07 20:22:59 UTC+0000                                 
